recipientKey,profileKey,domain,gap,action,severity,route,disposition,closureState,requiredActor,allowedWritePath,prohibitedWritePath,schoolId,schoolName
0d4eed867efce609c6a5d0cf,f4ae367399e4afb340b73e2f,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
ee18fece72a203b4ca7fdf2c,89df40a8030871d0805a06cf,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
046b9186a0b4a3f2fb5e671e,d9404166c4bb40a1dc5bc97a,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
2183ab3d91fdf1d601355e14,f5ac27ab87e6efd9a77ed9de,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
8cf120241ca6f49934b6121c,c182c0e720d2bd1b8ba78adb,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
1742dc43cda17b8bc0017dd7,99a4f495b94b2a02d83badb1,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
691051d0f4993f61e10b1c26,c3e6c77db8043367d687b53f,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
d6f26a5a999c75e3a1e0b349,32969ee9be25929dd5a3dbc5,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
b7e7dd2193918e4f3f6500f4,ccd264f69b4c4ae3cc1ecef8,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
a65dffadcf5e7bf73aee0124,c62e8a2fdd156d000152e3a5,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
e4de1c38aee79c7b4d3ae57a,eef394df39daedd2925a5f9d,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
ff6255b967ef340cc0dd67ad,4d11162dbbb006654474c491,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
