rowType,subjectKey,userKey,caseKey,predictionResultKey,schoolId,schoolName,applicationYear,round,result,reviewStatus,verificationStatus,outcomeLabelStatus,feedbackSentiment,feedbackCategory,disposition,closureState,nextAction,sourceQuality,provenanceStatus,consumerPolicy
admission_case,7452c8a6c82fe280086bc8a6,6d54562ce36170547f66fac4,7452c8a6c82fe280086bc8a6,,cmn1htknq000cvqf2sogobdg1,Cornell University,2025,ED,DEFERRED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,51c12a6bad81dba88da77179,1b8c0c82d7d4aa6d11d18639,51c12a6bad81dba88da77179,,cmn1htknh0008vqf2i053h8rm,Brown University,2025,ED,REJECTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,a1f2e31ce614575b147ed4e8,1b8c0c82d7d4aa6d11d18639,a1f2e31ce614575b147ed4e8,,cmn1htkna0004vqf2erll9srp,Yale University,2025,RD,WAITLISTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,e0e1ef9b197f723c9ded3f89,1b8c0c82d7d4aa6d11d18639,e0e1ef9b197f723c9ded3f89,,cmn1htkmy0000vqf2src2zcb5,Princeton University,2025,REA,DEFERRED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,4950065fd25f304cd5ff5b3c,1b8c0c82d7d4aa6d11d18639,4950065fd25f304cd5ff5b3c,,cmn1htkn80003vqf29zl0f9lr,Stanford University,2025,RD,REJECTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,0e3451920633dfcf3eaeba57,9e36b961497b7c8965526c48,0e3451920633dfcf3eaeba57,,cmn1htkoa000kvqf2oqm36hw5,"University of Michigan, Ann Arbor",2025,EA,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,c31023a27979da8e8762f596,8a65f89db40bb5ce10fda37c,c31023a27979da8e8762f596,,cmn1htkp9000yvqf29pcl812t,New York University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,473cb1167b5a7b4330d70cb4,1cfc6703152302ff9fa0bee3,473cb1167b5a7b4330d70cb4,,cmn1htko0000gvqf2pmjc1xi9,Rice University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,a204fd5802f915e672f67385,ab7b7e4358a8231358f6f851,a204fd5802f915e672f67385,,cmn1htknm000avqf2g8h3sbdp,Northwestern University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,5c93eb24e176649a862fd27c,4258fa999ee498677502b92c,5c93eb24e176649a862fd27c,,cmn1htkoh000nvqf2uj3pjgxw,Carnegie Mellon University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,trusted_verified_case,trusted,accept,verified_user_proof_or_admin,verified,case_gallery_hall_prediction_diagnostics_allowed_with_verified_badge_no_auto_calibration
admission_case,fae74d69de3ba3c7ca8fb854,1ee93be2c9da131c1c793ac9,fae74d69de3ba3c7ca8fb854,,cmn1htkny000fvqf2jlmz8ej1,"University of California, Los Angeles",2025,RD,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,4193b0e1a013c91e08df53b2,23560000e696f9fff727adf6,4193b0e1a013c91e08df53b2,,cmn1htknv000evqf29yjvrstt,"University of California, Berkeley",2025,RD,ADMITTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,e1f0717b115be335f0f01833,6d54562ce36170547f66fac4,e1f0717b115be335f0f01833,,cmn1htkno000bvqf209819ok4,Columbia University,2025,ED,DEFERRED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,c7da7195724d6a6e51beff73,1b8c0c82d7d4aa6d11d18639,c7da7195724d6a6e51beff73,,cmn1htkng0007vqf224oeyvgq,Duke University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,4407dcb00f053b454d79b29d,9e36b961497b7c8965526c48,4407dcb00f053b454d79b29d,,cmn1htknc0005vqf2l2az4cd2,University of Pennsylvania,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,a7404c554ee3c9dfedde9a8b,9e36b961497b7c8965526c48,a7404c554ee3c9dfedde9a8b,,cmn1htkna0004vqf2erll9srp,Yale University,2025,REA,ADMITTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,af5c29ce3fda45d75781d34e,9e36b961497b7c8965526c48,af5c29ce3fda45d75781d34e,,cmn1htkmy0000vqf2src2zcb5,Princeton University,2025,REA,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,5fe08a41ab51349d37bda1e9,9e36b961497b7c8965526c48,5fe08a41ab51349d37bda1e9,,cmn1htkn80003vqf29zl0f9lr,Stanford University,2025,REA,ADMITTED,AUTO_APPROVED,,,,,trusted_verified_case,trusted,accept,verified_user_proof_or_admin,verified,case_gallery_hall_prediction_diagnostics_allowed_with_verified_badge_no_auto_calibration
admission_case,17379875e8f0fdd506ab3f51,9e36b961497b7c8965526c48,17379875e8f0fdd506ab3f51,,cmn1htkn60002vqf2r731l78m,Harvard University,2025,RD,REJECTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,1bcf6905642e622721b042a9,9e36b961497b7c8965526c48,1bcf6905642e622721b042a9,,cmn1htkn30001vqf2nozenmj6,Massachusetts Institute of Technology,2025,EA,ADMITTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,29600c2c2512450f3c637c82,23560000e696f9fff727adf6,29600c2c2512450f3c637c82,,cmn1htknq000cvqf2sogobdg1,Cornell University,2025,ED,DEFERRED,PENDING_REVIEW,,,,,review_pending_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
